participant_age_group,participant_gender,participant_status,participant_type
Adult 18+,Male,Unharmed,Suspect
Teen 12-17,Male,Killed,Suspect
Child 0-11,Female,Unharmed,Victim
Teen 12-17,Female,Injured,Suspect
Child 0-11,Male,Injured,Suspect
Adult 18+,Male,Killed,Suspect
Child 0-11,Male,Unharmed,Victim
Adult 18+,Female,Unharmed,Suspect
Child 0-11,Female,Killed,Suspect
Adult 18+,Male,Injured,Suspect
Teen 12-17,Female,Arrested,Suspect
Child 0-11,Male,Killed,Suspect
Teen 12-17,Male,Arrested,Suspect
Child 0-11,Female,Injured,Suspect
Teen 12-17,Male,Injured,Victim
Adult 18+,Male,Arrested,Suspect
Teen 12-17,Female,Killed,Victim
Teen 12-17,Male,Killed,Victim
Adult 18+,Male,Unharmed,Victim
Teen 12-17,Female,Injured,Victim
Child 0-11,Female,Arrested,Suspect
Adult 18+,Male,Killed,Victim
Child 0-11,Male,Arrested,Suspect
Child 0-11,Male,Injured,Victim
Child 0-11,Female,Killed,Victim
Teen 12-17,Female,Arrested,Victim
Adult 18+,Female,Unharmed,Victim
Adult 18+,Male,Injured,Victim
Child 0-11,Male,Killed,Victim
Adult 18+,Female,Killed,Suspect
Teen 12-17,Male,Arrested,Victim
Child 0-11,Female,Injured,Victim
Adult 18+,Male,Arrested,Victim
Teen 12-17,Female,Unharmed,Suspect
Adult 18+,Female,Injured,Suspect
Child 0-11,Female,Arrested,Victim
Child 0-11,Male,Arrested,Victim
Teen 12-17,Male,Unharmed,Suspect
Adult 18+,Female,Arrested,Suspect
Child 0-11,Female,Unharmed,Suspect
Child 0-11,Male,Unharmed,Suspect
Adult 18+,Female,Killed,Victim
Adult 18+,Female,Injured,Victim
Teen 12-17,Female,Unharmed,Victim
Teen 12-17,Male,Unharmed,Victim
Teen 12-17,Male,Injured,Suspect
Teen 12-17,Female,Killed,Suspect
Adult 18+,Female,Arrested,Victim
