participant_id,participant_age_group,participant_gender,participant_status,participant_type
0,Adult 18+,Male,Unharmed,Suspect
1,Teen 12-17,Male,Killed,Suspect
2,Child 0-11,Female,Unharmed,Victim
3,Teen 12-17,Female,Injured,Suspect
4,Child 0-11,Male,Injured,Suspect
5,Adult 18+,Male,Killed,Suspect
6,Child 0-11,Male,Unharmed,Victim
7,Adult 18+,Female,Unharmed,Suspect
8,Child 0-11,Female,Killed,Suspect
9,Adult 18+,Male,Injured,Suspect
10,Teen 12-17,Female,Arrested,Suspect
11,Child 0-11,Male,Killed,Suspect
12,Teen 12-17,Male,Arrested,Suspect
13,Child 0-11,Female,Injured,Suspect
14,Teen 12-17,Male,Injured,Victim
15,Adult 18+,Male,Arrested,Suspect
16,Teen 12-17,Female,Killed,Victim
17,Teen 12-17,Male,Killed,Victim
18,Adult 18+,Male,Unharmed,Victim
19,Teen 12-17,Female,Injured,Victim
20,Child 0-11,Female,Arrested,Suspect
21,Adult 18+,Male,Killed,Victim
22,Child 0-11,Male,Arrested,Suspect
23,Child 0-11,Male,Injured,Victim
24,Child 0-11,Female,Killed,Victim
25,Teen 12-17,Female,Arrested,Victim
26,Adult 18+,Female,Unharmed,Victim
27,Adult 18+,Male,Injured,Victim
28,Child 0-11,Male,Killed,Victim
29,Adult 18+,Female,Killed,Suspect
30,Teen 12-17,Male,Arrested,Victim
31,Child 0-11,Female,Injured,Victim
32,Adult 18+,Male,Arrested,Victim
33,Teen 12-17,Female,Unharmed,Suspect
34,Adult 18+,Female,Injured,Suspect
35,Child 0-11,Female,Arrested,Victim
36,Child 0-11,Male,Arrested,Victim
37,Teen 12-17,Male,Unharmed,Suspect
38,Adult 18+,Female,Arrested,Suspect
39,Child 0-11,Female,Unharmed,Suspect
40,Child 0-11,Male,Unharmed,Suspect
41,Adult 18+,Female,Killed,Victim
42,Adult 18+,Female,Injured,Victim
43,Teen 12-17,Female,Unharmed,Victim
44,Teen 12-17,Male,Unharmed,Victim
45,Teen 12-17,Male,Injured,Suspect
46,Teen 12-17,Female,Killed,Suspect
47,Adult 18+,Female,Arrested,Victim
